Probe	Ensembl
MUL1_IL2400193	ENSG00000090432
CDA_IL2324084	ENSG00000158825
PINK1_IL2324097	ENSG00000158828
DDOST_IL2400220	ENSG00000244038
KIF17_IL2400247	ENSG00000117245
HP1BP3_IL2400322	ENSG00000127483
EIF4G3_IL2400373	ENSG00000075151
ECE1_IL2400518	ENSG00000117298
ALPL_IL2324416	ENSG00000162551
RAP1GAP_IL2400655	ENSG00000076864
USP48_IL2400718	ENSG00000090686
HSPG2_IL2400793	ENSG00000187942
CDC42_IL2324634	ENSG00000070831
ZBTB40_IL2324743	ENSG00000184677
C1QA_IL2324856	ENSG00000173372
C1QC_IL2324873	ENSG00000159189
C1QB_IL2324884	ENSG00000173369
EPHB2_IL2324919	ENSG00000133216
LUZP1_IL2401193	ENSG00000169641
HNRNPR_IL2401275	ENSG00000125944
ZNF436_IL2401333	ENSG00000125945
C1orf213_IL2325113	ENSG00000249087
TCEA3_IL2401347	ENSG00000204219
ASAP3_IL2401384	ENSG00000088280
E2F2_IL2401448	ENSG00000007968
ID3_IL2401493	ENSG00000117318
MDS2_IL2325158	ENSG00000197880
RPL11_IL2325192	ENSG00000142676
TCEB3_IL2325251	ENSG00000011007
LYPLA2_IL2325290	ENSG00000011009
GALE_IL2401581	ENSG00000117308
HMGCL_IL2401609	ENSG00000117305
FUCA1_IL2401643	ENSG00000179163
CNR2_IL4044363	ENSG00000188822
NIPAL3_IL2325410	ENSG00000001461
RCAN3_IL2325479	ENSG00000117602
SRRM1_IL2325526	ENSG00000133226
CLIC4_IL2325593	ENSG00000169504
RUNX3_IL2401994	ENSG00000020633
SYF2_IL2402068	ENSG00000117614
RHD_IL2325877	ENSG00000187010
LDLRAP1_IL2326018	ENSG00000157978
MAN1C1_IL2326049	ENSG00000233478
SEPN1_IL2326126	ENSG00000162430
PAQR7_IL2402431	ENSG00000182749
STMN1_IL2402459	ENSG00000117632
PAFAH2_IL2402493	ENSG00000158006
PDIK1L_IL2326286	ENSG00000175087
CNKSR1_IL2326327	ENSG00000142675
SH3BGRL3_IL2326448	ENSG00000142669
UBXN11_IL2402601	ENSG00000158062
CD52_IL2326463	ENSG00000169442
AIM1L_IL2402645	ENSG00000176092
ZNF683_IL2402691	ENSG00000176083
DHDDS_IL2326496	ENSG00000117682
HS3ST4_IL3653786	ENSG00000198830
RPS6KA1_IL2326561	ENSG00000117676
ARID1A_IL2326640	ENSG00000117713
PIGV_IL2326707	ENSG00000060642
ZDHHC18_IL2326749	ENSG00000204160
SFN_IL2326774	ENSG00000175793
GPN2_IL2402838	ENSG00000142751
GPATCH3_IL2402861	ENSG00000198746
NUDC_IL2326799	ENSG00000090273
TRNP1_IL2326846	ENSG00000253368
FAM46B_IL2402914	ENSG00000158246
SLC9A1_IL2402942	ENSG00000090020
WDTC1_IL2326912	ENSG00000142784
TMEM222_IL2326954	ENSG00000186501
SYTL1_IL2326993	ENSG00000142765
MAP3K6_IL2403027	ENSG00000142733
CD164L2_IL2403099	ENSG00000174950
GPR3_IL2327045	ENSG00000181773
WASF2_IL2403111	ENSG00000158195
AHDC1_IL2403158	ENSG00000126705
FGR_IL2403215	ENSG00000000938
IFI6_IL2403261	ENSG00000126709
FAM76A_IL2327188	ENSG00000009780
STX12_IL2327219	ENSG00000117758
PPP1R8_IL2327259	ENSG00000117751
RPA2_IL2403301	ENSG00000117748
SMPDL3B_IL2327310	ENSG00000130768
XKR8_IL2327338	ENSG00000158156
EYA3_IL2403335	ENSG00000158161
PTAFR_IL2403446	ENSG00000169403
DNAJC8_IL2403470	ENSG00000126698
ATPIF1_IL2327375	ENSG00000130770
SESN2_IL2327391	ENSG00000130766
MED18_IL2327418	ENSG00000130772
RCC1_IL2327482	ENSG00000242125
TRNAU1AP_IL2327542	ENSG00000180098
RAB42_IL2327572	ENSG00000188060
TAF12_IL2403585	ENSG00000120656
GMEB1_IL2327603	ENSG00000162419
YTHDF2_IL2327630	ENSG00000198492
EPB41_IL2327677	ENSG00000159023
MECR_IL2403793	ENSG00000116353
PTPRU_IL2327817	ENSG00000060656
MATN1_IL2404122	ENSG00000162510
LAPTM5_IL2404158	ENSG00000162511
SDC3_IL2404209	ENSG00000162512
PUM1_IL2404254	ENSG00000134644
SNRNP40_IL2404377	ENSG00000060688
ZCCHC17_IL2328236	ENSG00000121766
FABP3_IL2404418	ENSG00000121769
SERINC2_IL2328273	ENSG00000168528
HCRTR1_IL2328387	ENSG00000121764
PEF1_IL2404521	ENSG00000162517
BAI2_IL2404693	ENSG00000121753
SPOCD1_IL2404766	ENSG00000134668
PTP4A2_IL2404819	ENSG00000184007
KHDRBS1_IL2328465	ENSG00000121774
TMEM39B_IL2328633	ENSG00000121775
KPNA6_IL2328674	ENSG00000025800
TXLNA_IL2328713	ENSG00000084652
CCDC28B_IL2328750	ENSG00000160050
IQCC_IL2328767	ENSG00000224066
EIF3I_IL2328808	ENSG00000084623
FAM167B_IL2328837	ENSG00000183615
LCK_IL2328841	ENSG00000182866
MARCKSL1_IL2404999	ENSG00000175130
TSSK3_IL2328909	ENSG00000225828
BSDC1_IL2405036	ENSG00000160058
ZBTB8OS_IL2405104	ENSG00000176261
SYNC_IL2405152	ENSG00000162521
KIAA1522_IL2329041	ENSG00000162522
YARS_IL2405192	ENSG00000134684
S100PBP_IL2329077	ENSG00000116497
FNDC5_IL2405250	ENSG00000160097
RNF19B_IL2405312	ENSG00000116514
AK2_IL2405364	ENSG00000004455
TRIM62_IL2405428	ENSG00000116525
ZNF362_IL2329266	ENSG00000160094
PHC2_IL2405469	ENSG00000134686
ZSCAN20_IL2329341	ENSG00000121903
GJB5_IL4054437	ENSG00000189280
GJA4_IL4054405	ENSG00000187513
ZMYM1_IL2329669	ENSG00000197056
SFPQ_IL2406064	ENSG00000116560
