Probe	Ensembl	Correlation
ENSG00000131142	ENSG00000131142	1
ENSG00000131484	ENSG00000131484	1
ENSG00000131885	ENSG00000131885	1
ENSG00000132139	ENSG00000132139	1
ENSG00000132204	ENSG00000132204	1
ENSG00000132321	ENSG00000132321	1
ENSG00000132746	ENSG00000132746	1
ENSG00000132821	ENSG00000132821	1
ENSG00000132938	ENSG00000132938	1
ENSG00000132972	ENSG00000132972	1
ENSG00000133019	ENSG00000133019	1
ENSG00000133454	ENSG00000133454	1
ENSG00000133937	ENSG00000133937	1
ENSG00000133958	ENSG00000133958	1
ENSG00000134020	ENSG00000134020	1
ENSG00000134138	ENSG00000134138	1
ENSG00000134323	ENSG00000134323	1
ENSG00000134363	ENSG00000134363	1
ENSG00000134532	ENSG00000134532	1
ENSG00000134853	ENSG00000134853	1
ENSG00000134871	ENSG00000134871	1
ENSG00000134873	ENSG00000134873	1
ENSG00000134962	ENSG00000134962	1
ENSG00000135226	ENSG00000135226	1
ENSG00000135472	ENSG00000135472	1
ENSG00000135480	ENSG00000135480	1
ENSG00000136099	ENSG00000136099	1
ENSG00000136197	ENSG00000136197	1
ENSG00000136244	ENSG00000136244	1
ENSG00000136542	ENSG00000136542	1
ENSG00000136694	ENSG00000136694	1
ENSG00000136872	ENSG00000136872	1
ENSG00000136931	ENSG00000136931	1
ENSG00000136943	ENSG00000136943	1
ENSG00000137204	ENSG00000137204	1
ENSG00000137285	ENSG00000137285	1
ENSG00000137571	ENSG00000137571	1
ENSG00000137709	ENSG00000137709	1
ENSG00000137727	ENSG00000137727	1
ENSG00000137731	ENSG00000137731	1
ENSG00000137819	ENSG00000137819	1
ENSG00000137834	ENSG00000137834	1
ENSG00000138028	ENSG00000138028	1
ENSG00000138315	ENSG00000138315	1
ENSG00000138685	ENSG00000138685	1
ENSG00000138741	ENSG00000138741	1
ENSG00000138792	ENSG00000138792	1
ENSG00000139734	ENSG00000139734	1
ENSG00000140254	ENSG00000140254	1
ENSG00000140279	ENSG00000140279	1
ENSG00000141150	ENSG00000141150	1
ENSG00000141316	ENSG00000141316	1
ENSG00000141391	ENSG00000141391	1
ENSG00000141448	ENSG00000141448	1
ENSG00000141449	ENSG00000141449	1
ENSG00000141934	ENSG00000141934	1
ENSG00000142182	ENSG00000142182	1
ENSG00000142530	ENSG00000142530	1
ENSG00000142611	ENSG00000142611	1
ENSG00000142973	ENSG00000142973	1
ENSG00000143061	ENSG00000143061	1
ENSG00000143147	ENSG00000143147	1
ENSG00000144230	ENSG00000144230	1
ENSG00000144369	ENSG00000144369	1
ENSG00000144649	ENSG00000144649	1
ENSG00000144724	ENSG00000144724	1
ENSG00000144820	ENSG00000144820	1
ENSG00000144821	ENSG00000144821	1
ENSG00000144847	ENSG00000144847	1
ENSG00000145002	ENSG00000145002	1
ENSG00000145063	ENSG00000145063	1
ENSG00000145358	ENSG00000145358	1
ENSG00000145362	ENSG00000145362	1
ENSG00000145623	ENSG00000145623	1
ENSG00000145700	ENSG00000145700	1
ENSG00000146005	ENSG00000146005	1
ENSG00000146205	ENSG00000146205	1
ENSG00000146221	ENSG00000146221	1
ENSG00000146666	ENSG00000146666	1
ENSG00000147465	ENSG00000147465	1
ENSG00000147485	ENSG00000147485	1
ENSG00000147689	ENSG00000147689	1
ENSG00000147697	ENSG00000147697	1
ENSG00000147862	ENSG00000147862	1
ENSG00000148143	ENSG00000148143	1
ENSG00000148671	ENSG00000148671	1
ENSG00000149054	ENSG00000149054	1
